1	3
2	13
3	12
4	8
5	12
7	3
8	8
9	3
10	3
11	12
12	3
13	13
14	12
15	3
16	8
17	3
18	3
19	13
20	3
21	3
22	12
23	16
24	3
25	13
26	13
27	12
28	8
29	3
30	3
31	3
32	8
33	8
34	8
35	12
36	3
37	3
38	14
39	13
40	13
41	3
42	8
43	16
44	3
45	3
46	12
47	13
48	3
49	16
50	3
51	3
52	3
53	16
54	8
55	3
56	3
57	16
58	12
59	12
60	3
61	3
62	17
63	8
64	11
65	16
66	3
67	16
68	3
69	8
70	8
71	13
72	3
73	3
74	3
75	3
76	8
77	11
78	8
79	16
80	8
81	8
82	3
83	16
84	12
85	13
87	13
88	16
89	3
90	16
91	14
92	3
93	8
94	3
95	8
96	3
97	8
98	15
99	14
100	3
101	3
102	8
103	16
104	3
105	11
106	16
107	3
108	13
109	3
110	3
111	16
112	12
113	3
114	16
115	3
116	3
117	3
118	6
119	16
120	16
121	8
122	13
123	16
124	16
125	3
126	3
127	8
128	3
129	3
130	3
131	12
132	12
133	3
134	3
135	3
136	3
137	13
138	12
140	12
141	3
142	3
143	8
144	16
145	8
146	3
147	3
148	16
149	3
150	3
151	12
152	3
153	8
154	3
155	11
156	3
157	3
158	16
159	3
160	3
161	16
162	3
163	13
164	8
165	3
166	3
167	16
168	3
169	3
170	3
171	13
173	12
174	3
175	12
176	14
178	3
179	5
180	3
181	3
182	13
183	11
184	3
185	3
186	12
187	13
188	8
190	3
191	3
192	3
193	3
194	8
195	13
196	12
197	5
198	3
199	3
200	3
201	3
202	3
203	8
204	13
205	12
206	3
207	12
208	3
209	3
210	3
211	3
212	3
213	13
214	8
215	3
216	8
217	12
218	13
219	12
220	13
221	3
222	3
223	3
224	3
225	8
226	3
227	12
228	3
229	3
230	3
231	8
232	3
233	14
234	13
235	3
236	8
237	13
238	8
239	8
240	13
241	12
242	16
244	13
245	14
246	12
247	3
248	13
249	3
250	3
251	8
252	16
253	3
254	3
255	3
256	3
257	8
258	3
259	3
260	13
261	8
262	13
263	3
264	8
265	13
266	3
267	16
268	12
269	3
270	3
271	8
272	3
273	13
274	11
275	3
276	3
277	3
278	3
279	3
281	3
282	3
283	12
284	16
285	11
286	12
287	3
288	3
289	12
290	8
291	2
292	2
293	12
294	8
295	3
296	3
297	13
298	8
299	8
300	13
301	8
302	3
303	13
304	8
305	12
306	3
307	3
308	13
309	16
310	11
311	12
312	3
313	8
314	3
315	16
316	8
317	3
318	3
319	3
320	16
321	3
322	3
323	13
324	12
325	16
326	3
327	3
328	13
329	3
330	3
331	3
332	3
333	3
334	3
335	3
336	3
337	6
338	11
339	13
340	3
341	3
342	16
343	13
344	12
345	16
346	12
347	6
348	3
349	16
350	6
351	3
352	3
353	13
354	13
355	13
356	13
357	3
358	11
360	12
361	3
362	12
363	3
364	3
365	3
366	3
367	13
368	16
369	16
370	3
371	12
372	13
373	3
374	3
375	3
376	3
377	8
378	3
379	12
380	3
381	6
382	8
384	13
385	12
386	3
387	3
388	12
389	12
390	3
391	3
392	3
393	13
394	13
395	16
396	16
397	3
398	3
401	16
402	13
403	8
404	3
405	3
406	12
407	13
408	3
409	6
410	3
411	13
412	16
413	12
414	16
415	3
416	3
417	8
418	12
419	8
420	3
421	3
422	16
423	13
424	3
425	3
426	3
427	3
428	16
429	3
430	3
431	3
432	8
434	3
435	12
436	12
437	3
438	3
439	3
440	3
441	3
442	12
443	12
445	8
446	3
447	12
448	14
449	16
450	16
451	3
452	13
453	3
454	3
455	8
456	3
457	14
458	3
459	3
460	3
461	3
462	3
463	8
464	3
465	3
466	12
467	3
468	3
469	2
470	8
471	12
472	3
473	8
474	12
475	3
476	13
477	3
478	16
479	12
480	3
481	13
482	16
483	12
484	3
485	16
486	8
487	13
488	3
489	3
490	16
491	3
492	3
493	3
494	13
495	12
496	8
497	3
499	3
500	8
501	3
502	16
503	11
504	12
505	3
506	12
507	3
508	3
509	3
510	3
511	12
512	8
513	3
514	8
515	14
516	13
517	13
518	3
519	12
521	3
522	8
523	3
524	3
525	12
526	8
527	3
529	16
530	12
531	3
532	13
533	3
534	12
535	16
536	12
537	3
538	16
540	16
541	8
542	13
543	3
544	12
545	8
546	16
547	3
548	16
549	3
550	13
551	12
552	8
553	3
554	3
555	3
556	13
557	3
558	3
560	3
561	3
562	3
563	8
564	13
565	14
566	13
567	12
568	8
569	15
570	13
571	11
572	16
573	3
